,text,scores,user_flowers,fav_count,aspects
195,"I feel like we made a lot of progress in Alien: Isolation today, although I'm obviously not sure where I'm at in th… https://t.co/qvGNqjweT7",3,119,3,"warming,environment,fossil,global,deal,coal"
196,#SolO Solar Orbiter: Europe's Sun mission makes first close pass https://t.co/g9vT3Xswad,2,826,0,job
197,"@SenateSHJ_AU partner, Jodie Wrigley joins global health consultants in a webinar where they will share insights an… https://t.co/6Fvtb5Si9r",2,687,6,"global,warming,deal,coal"
198,"kobe died, australia was on fire, a global pandemic has effected the planet for months, the death of George Floyd l… https://t.co/kBCshRHLmA",1,2270,85,"environment,global,warming,deal,coal"
199,"Who in #Canada is working with #COCOONGlobal ?

https://t.co/dsAHcmSiQa

They include Canada (and Quebec) on their… https://t.co/1Hb9llWMCV",2,3745,4,"warming,global,environment"
200,"the execution of #BANGBANGCON_TheLive was awesome; the sets, the outfits, the streaming platform! well done to… https://t.co/hLrsry4i2j",3,33,0,warming
201,"fossil fuels? hm, you guys probably havent discovered a renewable fuel source. heres a hint: literally shit in your engine",2,2,0,"fossil,fuel,global,warming,deal,coal"
202,STOP the sale of live Dogs and Cats in Pet Shops Australia Wide! Plz sign: https://t.co/nNesbin84P https://t.co/NgqzL8NxfX,3,377,0,warming
203,@LennonheadNew masks are bad for health. less oxygen more co2. moist environment for bacteria to grow. and covid do… https://t.co/MzvUeBj7mP,1,2,0,environment
204,Finland renames ‘Negro Island’ amid global anti-racism protests https://t.co/TfmMrzqGtT,2,449,0,global
205,"We are NOT Citizens with rights 
We are only Consumers

So forget that we’re only 7 months into a Global Pandemic w… https://t.co/YmRXlON230",1,1848,4,"global,warming,deal,coal"
206,"ALERT: Cal alum Collin Morikawa edged in playoff by Daniel Berger
in PGA’s first post-coronavirus-shutdown event -… https://t.co/h87552dvUI",2,26214,0,warming
207,@TheDriven_io The cost to the environment of trying to quickly scrap gas guzzler transport would far outweigh the b… https://t.co/jsokCboOc4,1,438,0,environment
208,10 New international destinations reopening to tourists. See this list... https://t.co/ufwjogn1AJ #travel https://t.co/HaxcMxNpm6,2,46,0,coal
209,"We have our own currency in SableAssent coin, learn the ramifications of freedom of money movement as global Africa… https://t.co/5XsNHE9zUR",2,395,24,"warming,global"
210,"#America is going through a quantum shift, and it is happening around the world as well, the global elites of the… https://t.co/N8vuchpqfN",2,1260,0,"global,warming,deal,coal"
211,Racism is at the heart of fast fashion – it's time for change | Kalkidan Legesse | Global development | The Guardian https://t.co/vO9Zi0Wbi1,1,1,0,global
212,@KTVU 1)I’m old enough to remember when the left used school shootings (most if not all done by kids with no father… https://t.co/m0aXlwmbFw,1,29,2,"global,deal,coal"
213,@girlslucky7 @sunrainsunrain @superduperedy I work with children of mental illness and even at high function they w… https://t.co/iZurhcbE9S,2,177,5,"warming,environment,fossil"
214,@realDonaldTrump The silent majority is SILENT about your immoral and stupid support of gay “marriage” and global d… https://t.co/0v7O3LLcZc,1,9969,1,global
215,PAYPAL MESSAGE CENTER CHAT LOG GIMME Global Exposure Networking Business... https://t.co/JXjhVxCx3L via @YouTube https://t.co/HqMIOAoLYy,2,40,0,global
216,"Event 201...…..???
Global Reset...???
Created by WHO......…???
~ https://t.co/reMQuZ5IMu",2,1145,0,global
217,Increase your profitability by pricing your products right. Global thought leader Alain Meloche shares his insights… https://t.co/ldhde2sbEd,3,22749,0,global
218,"I really agree with you, Caitlin! I loved being able to highlight @Seesaw during distance teaching because it was s… https://t.co/lOjTBz0h4N",2,1947,4,"warming,environment,fossil"
219,"@carrie_wheeless @JudgeClayJ Carrie, perhaps you've remained uneducated, but even the @WHO has even stated ""WHO ful… https://t.co/AU3FNfEAc8",2,276,0,green
220,"this global warming ass sun is really boutta give me skin cancer. no way I should be this burnt, didn’t even know that shit was possible",1,252,3,"global,warming,environment,fossil"
221,The hospital as a whole cannot deny care. I get that. BUT the hospital should also be responsible and keep enough s… https://t.co/jrd7DROuS7,1,190,3,"global,warming,deal,coal,environment,fossil"
222,The rise of Colonial enterprise would be a sort of welcome reprief for the Catholic church as it pivoted towards ex… https://t.co/SzvZxIv9xS,2,1599,0,"global,warming,deal,coal"
223,"Dispersal of flying foxes from centre of Cairns 'farcical', wildlife groups say

https://t.co/zHZqeWA5iQ",2,2220,1,"environment,coal"
224,"@BadgerOC1 @brucewilson @MattWalshBlog They don't call it global warming anymore. The new term is ""Climate Change.""",1,126,0,"global,warming"
225,"""#WorldNews: End of the world? Mayan calendar now predicts doomsday could be next week - PennLive #News"": https://t.co/p03v7wu0yT",2,24813,0,green
226,The colors of #Bangkok.  Visiting the Grand Palace is a memorable experience when you go to Bangkok.… https://t.co/YgLrFwwxtn,2,60352,4,"global,warming,deal,coal"
227,Are Human Pharmaceutical brands going to be the next big sponsors of the global horse racing industry? #HorseTech https://t.co/0LvRIWuhQu,2,1347,0,global
228,@JamesrossrJames @nypapajoe Trump is so stupid Fossil fuel is so yesterday!!  Alternative energy is the way to go!!,2,271,0,"fossil,fuel"
229,"@AltaDragonHeart @jklugAB ""We can do something or we can do nothing, and I respect them for doing nothing!""
We have… https://t.co/xTgJkncjM7",1,147,2,"warming,environment,fossil"
230,Van Council officially reopened the doors to his six Van Michael hair salons in Atlanta after Governor Brian Kemp l… https://t.co/RHRVifWGz3,2,3626,0,warming
231,"@MLKSEMI

- theyre shy pls
- they just need some warming up they're actually sweethearts
- dont be mean they'll cry https://t.co/XtB6FxGBYj",1,722,1,warming
232,"@RobletoFire lets look at SOROS FUND MANAGEMENT position in Energy

https://t.co/bcews6aa2o

0.56%  in ANYTHING rel… https://t.co/Xke1kcSWfX",2,3487,0,warming
233,@bostonsocks @jtomase here is a primer on pro sports econ - https://t.co/uRm5j41GFT,3,144,0,"global,warming,deal,coal,environment"
234,"Getting ready to move, getting ready for my birthday and house warming is wearing me OUT 🥴",2,118,0,"warming,environment"
235,Global report: China detects highest daily case rise in months https://t.co/gvYGLYTJjW,1,37,0,"global,warming"
236,"@CrazyMarchian A friend who has daughters told me that my telling my sons that was curtailing their fun. I said, ""I… https://t.co/JgEvC7Dvpm",3,14844,23,"global,warming,deal,coal,environment,fossil"
237,"The majority of the mushrooms in the country are grown in Chester County!

In these comms where nearly 1/2 the pop… https://t.co/vE0TBNwysb",2,2739,0,warming
238,I have to laugh at the far right Nazi scum who try to silence me. I'm just warming up...,1,2231,0,"warming,environment,fossil"
239,@inmyownfashion2 @leaflee11 The environment would be better for it,2,238,0,environment
240,BangBangCon garnered concurrent audience of 756k viewers from 107 regions. It also resulted increase in global FC m… https://t.co/ygVNmeGKl2,2,20040,54,"warming,global"
241,"@afortini I’d consider you a Trump supporter. Whether you like him or not, voting for a third-party candidate who c… https://t.co/O4UOVq8gVE",2,193,0,"global,warming,deal,coal"
242,"A7. If it makes sense for people to participate. 

If your work environment treats perks as a reward then the progr… https://t.co/x7jbm0kZmt",2,4404,2,"environment,global,warming,deal,coal"
243,Research this useful building blocks in order to eliminate excess weight https://t.co/EYpt3w5klp,2,44960,0,warming
244,Global Leaders In Privacy And #DigitalIdentity To Speak At Inaugural Nonconformist Innovation Summit - PR Web https://t.co/eAZE8KDrKA,2,144,0,"global,warming"
245,"Global Social Media Security Market 2025 Expected to grow with highest CAGR: Sophos, Trend Micro, Symantec, Micro F… https://t.co/9LXFsYvbSY",1,159,0,global
246,@Amonstersmom1 @wolfpk6 @Doranimated @davereaboi Wouldn't they be paid more because they would be working in harshe… https://t.co/wNJMcw90Sd,2,18,2,warming
247,"Monday Amazing Trader 15 June 2020 -- JP, Mtl https://t.co/P79GMYMOGd",3,305,0,warming
248,"Getting older, you really start to realize how your home environment has influenced you &amp; your mental health. Some… https://t.co/Uv92d16Sn8",2,700,1,environment
249,"@NYGovCuomo Bill Gates, Dr. Fauci, CDC, WHO, are running deadly global “vaccine empire” that can only exist through… https://t.co/MfU5EUjImj",2,2,0,global
250,Nearly all regular people have found they were able to trim fat in the body plus also restore well being alongside… https://t.co/kgCJOQ0svf,3,7987,0,warming
251,We stand together for every child's right to learn in a safe and gender-sensitive environment during and after the… https://t.co/SgaeyFnX8a,3,3273012,126,"warming,global,deal,coal,environment"
252,"GLOBAL DAY OF PRAYER WITH PASTOR CHRIS!

Join billions of others around the world to make tremendous power availabl… https://t.co/tY7z258glg",2,259,2,global
253,"@NYGovCuomo Bill Gates, Dr. Fauci, CDC, WHO, are running deadly global “vaccine empire” that can only exist through… https://t.co/lLgOqkGKVt",2,2,0,global
254,"i went to cosmetology school in 2017 and graduated, but i never went to take my board exam to get my license bc i r… https://t.co/YhofVCr97k",1,287,0,"warming,environment,fossil"
255,@ErichSBloodaxe These ideas inevitably lead to eugenic practices against places that have a ‘surplus’ population (C… https://t.co/HY2WJZwSxT,2,2096,0,"global,warming,deal,coal"
256,"@NYGovCuomo Bill Gates, Dr. Fauci, CDC, WHO, are running deadly global “vaccine empire” that can only exist through… https://t.co/yqoiXKsHmY",2,2,0,global
257,@CryptoWhale First: It's a fine model. Second: Why this ponzi PoW after all? Third: One single mining company owns… https://t.co/7tml9bw6Id,4,401,1,"global,warming,deal,coal"
258,We won't have a society if we destroy the environment. - Margaret Mead,1,182,0,"global,warming,deal,coal,environment"
259,Kayn bug/ Global W (15.06.2020) https://t.co/8LIhTF3r7n,2,0,5,"global,warming"
260,"I've worked some bad places. I had a job that looking back at now, I'm utterly shocked and appalled at how I was tr… https://t.co/mtSUiC126C",1,118559,398,"warming,environment,fossil,global,deal,coal,job"
261,"@w_terrence https://t.co/rLnMN4JRkO
It’s all about the UN strong cities network = autonomous zones= war on the US!",1,5691,0,"warming,environment"
262,change your environment and watch your growth!,3,108,4,environment
263,@blockchainshay @JTS_Global Put your spot on #TERC #BeFaster,2,621,6,"global,environment"
264,"@MissDahlELama I preordered How Beautiful We Were by Imbolo Mbue; bought Bernadine Evaristo's Girl, Woman, Other; a… https://t.co/HIzOlO9LJk",3,588,2,"warming,environment,fossil"
265,"DEMOCRATIC SOCIALISM SIMULATOR - Molleindustria (2020)
A riff on Reigns where you take on the role of a president t… https://t.co/bC8t3Rywkw",2,31,0,"global,warming,deal,coal,environment"
266,"A journalist is just one type of professional, and a “black” person is of just one sub-group, within the unlimited… https://t.co/tlrHEOblKn",1,5,0,"global,warming,deal,coal"
267,@ilyas_saliba @kev_koehler @jannisgrimm @EllenMLust @ischierenbeck @SAGE_Publishing In case you wondered: Comic str… https://t.co/PgNf1zJAD8,2,496,2,warming
268,@ineedpeace_bp @HarshTruths11 @hiraimsmo @lisadeatil @Global_IG_LLS @GOTWITZYBTS @zeknoxx @longIivelisa you literal… https://t.co/q1jCXxz7pf,2,346,1,global
269,"Rewatching Nadia win BB. 
@ThisisDavina
 how did u feel when Nadia and her mum were reunited? One of the most heart… https://t.co/0H7ghViVyt",3,995,0,fuel
270,"@scottishfirst @patronsaintofca Sorry Christopher, I’m just exhausted reading my TL some days, esp as we’re in midd… https://t.co/VwDI07DpOD",1,2238,4,warming
271,The (POT)US that is at the end of the RAINBOW is a bigoted dictatorial sham of a human being...is there no end to h… https://t.co/ID1Gie16Sw,1,0,0,"global,warming,deal,coal"
272,"Dispersal of flying foxes from centre of Cairns 'farcical', wildlife groups say 
#Wildlife #WildOz… https://t.co/gDKVdVutIl",2,6217,2,"environment,coal"
273,@Ludo_Parks I was 47 in April and the only bad things that have happened is a global pandemic and a race war.,1,365,1,"warming,environment,fossil,global,deal,coal"
274,The Great Reset needs great leaders to help the most vulnerable https://t.co/tZ2Caa9Che,3,1392,0,environment
275,"-Reliability, transparency, and security to medical data. A blockchain-based global pandemic map can be used to tra… https://t.co/01K7S4BKKi",2,1352,0,"global,warming,deal,coal"
276,@IntegrityNeeded Agree. CV19 is being used as tool by global deep state to create illusion of pandemic to destroy e… https://t.co/ZOX8JW13qp,2,209,0,global
277,‘The new infrastructure deal comes ahead of the handing down of a review into the Commonwealth Environment Protecti… https://t.co/L79tP85XFB,3,7,0,"deal,global,warming,coal,environment"
278,Re-establish your wellbeing with clever physical fitness ways https://t.co/8l3hFeyqdu,3,70147,1,coal
279,@MikeChillit Met a guy once in a Lufthansa lounge who lived in the Namib. Claimed there was no cancer there because… https://t.co/NrLYwcdG7e,2,183,1,"global,warming,deal,coal"
280,@MarcBozza i dont blame churchill alone.he was a puppet the same as boris is now..ww1 and 2 were grave mistakes and… https://t.co/dBvtg8FarI,2,372,0,"warming,environment,fossil,global,deal,coal"
281,"@Bernstein global: the Internet.
local: relating to a particular region. 
Your apparent sympathy with totalitarian… https://t.co/aiPlkc0yzC",2,219,0,"global,warming,deal,coal"
282,Animal rights activists and dolphin zoo set aside enmity to collaborate on sea sanctuary https://t.co/CoSr5REgcc,2,951,1,environment
283,"He's a target-rich environment, we don't have to seize every opportunity https://t.co/KfHzT0Zta0",3,165,1,"global,warming,deal,coal,environment"
284,"Yup......

@realDonaldTrump is responsible for 117,000 deaths, 25% of the worlds death count for a country which ho… https://t.co/0n23e7FSy4",1,780,0,"global,warming,deal,coal"
285,"@br6extreme Thanks for entering Grand Summoners #yuyuhakusho #instantwin #sweepstakes 🎉

Watch the video to see if… https://t.co/caOwfBfh6R",3,36061,0,"green,fossil,environment"
286,"@Mtnhiker55 Cause hes partnered w Trump, Moncef Slaoui, head of Operation Warp Speed, Bill Gates, the WHO and many… https://t.co/1QVQwnZKqB",2,187,0,warming
287,"Proteomics International Laboratories Ltd (#ASX: $PIQ) announces a global multi centre study of 3,000 people has co… https://t.co/vvuJDx9bfe",3,58,0,"global,warming,deal,coal"
288,"Climate worst-case scenarios may not go far enough, cloud data shows. #ClimateCrisis #emissions
https://t.co/BeHQhxFLpa",1,883,0,"environment,warming,job"
289,Updated estimates of the impact of COVID-19 on global poverty https://t.co/pqVNbTSBRx via @WorldBank,2,38,0,"environment,global"
290,@missv_kook @GIAWPINKS Ok reveluvs sister fandom and exo ls are kinda warming up to us after the whole armys spread… https://t.co/A8ypIAZeo8,2,24,12,warming
291,"@NotTheHamas @taurl_ @sugarbonen @afortini I don't agree with the green new deal, ""new"" capitalism, massive taxes o… https://t.co/VcAFQIfN4D",1,4,1,"warming,environment,fossil,green,deal"
292,"A Toastmasters club is a great place to learn a lot about life skills in a warm, welcoming and safe environment. To… https://t.co/1wgsgnJsAf",3,657,0,"global,warming,deal,coal,environment"
293,@kornie55_ HOE YOU SO HOT THAT YOU CAUSING GLOBAL WARMING 😩😩😩😩😩👏🏻👏🏻👏🏻👏🏻👏🏻💓💓💓💓💓☺️,3,175,1,"global,warming"
294,"Questions raised by Canada U.S. land-border closures as citizens fly into the U.S. - [Coronavirus], Source: Global… https://t.co/suf1EiY59h",2,19,0,global
295,"Environment Secretary Roy Cimatu called for maximum punishment for habitual violators of environmental laws, follow… https://t.co/rbvPgzhowK",2,3116645,40,environment
296,@shaunvsthaworld @WWE @WWESheamus Can see why @MATTHARDYBRAND got pissed off when he heard about it Matt get Jeff o… https://t.co/5sjMhMhZQg,2,100,0,"coal,green,global,environment"
297,When I say “put on suits and swag surf” I mean “tear down global capitalism” https://t.co/9Thp1simZH,3,1345,1,"warming,environment,fossil,global"
298,Opinion: Shops on the high street have opened up again – but are we ready? https://t.co/ib3sKZBZ1X,2,3272986,24,environment
299,"@afortini ""Dear Dr. Stein,
We are writing to you in the spirit of green values and principles, which include fighti… https://t.co/FXVfCNrVd3",2,125,0,"warming,green"
300,"""Covid has exposed the ""flaws and fragility"" of France's, and more broadly Europe's, over-reliance on global supply… https://t.co/GKWNAr53Hd",1,28,0,"environment,global"
301,#Trump fights against the American people and against our environment. #VoteBlueToSaveAmerica https://t.co/GfGt8z2vCw,1,216,0,environment
302,"OSS/BSS Market Revenue to Cross USD 90 Bn by 2026: Global Market Insights, Inc. https://t.co/QTs50Pu0Fk https://t.co/vv0trTiOCK",2,3195,0,global
303,"@emrazz When the US president is literally the ""leader of the free world"" and sets the entire tone of western polit… https://t.co/9R2c8nc02e",2,177,1,"deal,green,environment"
304,@JohnBrennan A bunch of neo-cons that are beholden to the military industrial complex.  Let's look at their global… https://t.co/42Srsat0GZ,2,2,0,"global,warming,deal,coal"
305,I realise that this only goes up to the end of May so I'm guessing that at that point our little country only accou… https://t.co/S0Wdl1GDUs,2,366,0,"warming,environment,fossil"
306,@midairbandit I was in the right place/age for there to be a toxic environment around MCR. Or maybe I was just a li… https://t.co/MJbFPN0K4H,3,1437,1,"warming,environment,fossil,global,deal,coal"
307,"@ghostofafairy @kylemcaskill @ClarkConnon No it’s not, a global pandemic is no reason to break any rules. And yeh r… https://t.co/BzMM9saTbK",1,395,0,"global,warming,deal,coal"
308,"#CovidStats update, new deaths per week, per million. Canada's deaths sharply improve! US now equals UK. But things… https://t.co/2oxtmdChMu",2,1992,1,deal
309,@CTVNews  @CBCTheNational  @CBCPolitics  There's a news story here going unreported on the damage the UCP is doing… https://t.co/enlTLsJcUU,2,257,1,"global,warming,deal,coal,environment"
310,"@ddelaun @QTAnon1 https://t.co/hqiSltdvOS

https://t.co/OH7wVcbUjr

Look at Gates wife waring a upside down Cross.… https://t.co/FNagW8GcWN",1,99,0,"global,warming,deal,coal"
311,"@jenndelbloque The world is in the middle of global change, That off feeling is change taking place around you",1,22,0,"warming,global"
312,@PartyPrat You went out to the shops during a global pandemic only so you could buy a single monster energy drink?,1,69,8,"global,warming,deal,coal"
313,We’ll soon know the exact air pollution from every power plant in the world. That’s huge. https://t.co/Ccfi7cLG56 via @voxdotcom,1,1074,0,warming
314,"tomorrow #coronavirus global cases will reach 8m
i sorted the top 20 countries by test total. very interesting
we n… https://t.co/2vAm3q1wre",1,11998,0,"global,warming,environment,fossil"
315,"Elder Abuse is a global social issue which affects the health, well-being, independence and human rights of older p… https://t.co/wcHVNDYjV6",1,3055,4,"global,warming,deal,coal"
316,"@tayestylizer Sorry, go get already freeze soup from refrigerator and fufu and eat. 
If you think of making eba and… https://t.co/tBfZawmze0",1,527,0,warming
317,@AkinLynooo It's so sad. We have a lot of issues that we take with levity in this country. Heads should run in a no… https://t.co/MNNbbERtm5,1,444,0,"global,warming,deal,coal"
318,"@dylan99_lu Hahaha, I am American, so we pronounce it ""Sc-own"". Unfortunately DNA does not always account local environment haha",2,1086,1,"warming,environment,fossil"
319,@Jhimmibhob @SZ_234 @bobtheretired @politico The 20th century produced plenty of dehumanizing social frameworks tha… https://t.co/E0xBuTj4EU,2,423,0,coal
320,@JunoCassandra Chile complaining about chart positions and promotions like the streets ain’t on fire rn and we in a… https://t.co/SJRWsKbyhh,1,1425,0,"environment,warming"
321,"@cosmicfunpalace Corporate PR generally falls into one or more of these: Gaslighting, self-aggrandizement, and cont… https://t.co/qqr1udT8zZ",1,1742,0,deal
322,"@damrider11 @BalkoffWalk @USA_Polling @LeanTossup Sure, and forecasts like leantossup are all based on the current… https://t.co/wfdF0kBf4J",2,59,1,environment
323,@KCON_Global Txt x everglow collab,2,5,0,global
324,@MollyJongFast Same ppl who think 💭 we have nothing to do with global warming! The world 🌍 enjoyed clearer skies du… https://t.co/I013qK24Gg,1,120,0,"global,warming"
325,@druinok @mathteacher24 @RobinKeturah @GlobalMathDept @thegozaway @viemath @melvinmperalta Thanks for tagging me in… https://t.co/cEhjR56zew,3,2449,3,"global,environment"
326,"@realDonaldTrump @Perduesenate https://t.co/rLnMN4JRkO
Autonomous zones are just a cover for UN policing in the Uni… https://t.co/er7l9TwHeH",2,5691,3,"global,warming,deal,coal"
327,"@Bobby44562471 @AlexanderJ_1841 Actually Bobby they PLEDGED 2 billion
They HAVEN'T paid shit yet and knowing their… https://t.co/sfaxg4w4LV",2,25,1,warming
328,"@shaistaAziz You have no future because you blame everything on the past, excusing your failure to succeed in any e… https://t.co/H1gR30XsQM",1,1,0,"environment,warming"
329,"Enagic Global Business Opportunity the real work from home fulltime or side hussle.
https://t.co/G09S3CHPmf via @YouTube",2,9,0,global
330,@chants_de_lune ugh this environment just SUITS you!!!!,1,564,1,environment
331,The Amy Asks podcast asked me a bit about the science and policy context of climate change. This is building up tow… https://t.co/v38LjHezFT,2,864,3,"environment,global,warming,deal,coal"
332,"@PeterStefanovi2 Is time to release it Boris the truth shall set you free,you or your party is hiding something and… https://t.co/nX8lpX1y9C",2,64,5,environment
333,@SirDemiface She is a product of her environment and it's upsetting to remember her as a tomboyish up and comer fro… https://t.co/gUT0XH5QcH,1,205,3,"global,warming,deal,coal,environment"
334,"""Another day, another incredible achievement for @BTS_twt✨.

The superstars attracted a RECORD-SETTING AUDIENCE for… https://t.co/GvM0283XcA",3,2844,6,"global,warming,deal,coal"
335,"@CatcherGou T-Triple—?!

How does that even happen..? Does it have t’ do with the environment ‘n habitat that they’… https://t.co/gFn1H92ybQ",2,777,2,environment
336,Outbreak of COVID-19 exposes the global supply chain and company structures.  Many organizations rely on tightly co… https://t.co/5JV8vhppQR,2,3,1,"global,environment"
337,2019 capacity stats from @IRENA confirm the special status of Australia as the global pathfinder for renewable ener… https://t.co/Ija0LoWupV,2,1238,1,global
338,"@Bayronalexisorr Thanks for entering Grand Summoners #yuyuhakusho #instantwin #sweepstakes 🎉

Watch the video to se… https://t.co/mGMo5nPxAY",3,36061,0,coal
339,This tent at the 12th and Pine intersection in #CHOPseattle calls on Gov. Inslee to issue an executive order to ter… https://t.co/DpXm78Og64,2,7851,44,"warming,environment"
340,@ineedpeace_bp @HarshTruths11 @hiraimsmo @lisadeatil @Global_IG_LLS @GOTWITZYBTS @zeknoxx @longIivelisa isnt that t… https://t.co/tDmNXMEmg5,2,346,1,global
341,"@JohnBoyega Maybe you SHOULD claim this one? I mean, that's one hell of a conspiracy to pull off. Imagine what it w… https://t.co/4yjbHL7qGn",2,70,0,"warming,environment,fossil,global,deal,coal"
342,Exposing the racism within annapolis &gt; ima go hard until I’m gone! I can’t wait until more individuals from a simil… https://t.co/QTeqVYx2Us,1,106,5,"warming,environment,fossil,global,deal,coal"
343,Chris Marcus was fired by the VA for “creating a hostile work environment.” But when he appealed to the agency that… https://t.co/ALhC0Zfz2E,2,1076127,143,"global,warming,deal,coal,environment"
344,@BettyMcCollum04 as a Palestinian -American I appreciate the work you’ve put in towards recognizing the rights of P… https://t.co/j2GhPILnIW,2,428,0,"global,warming,deal,coal,environment,fossil"
345,"@afortini Serious answer: protect democracy by voting for Biden. If you really care about Green Party issues, help… https://t.co/0FShtufEtG",2,2427,0,green
346,"@DocWade3 @Kate18660449 @DanielAndrewsMP &amp; you could sub in ""Global Banks"" for CCP in that sentence

There is no cl… https://t.co/hhqEutylW4",1,347,0,"warming,global"
347,"@cchiffers Also users who are already logged in should be unaffected, no use for virtual environment but good for local devices.",1,24,0,"warming,environment"
348,@glennkirschner2 @ReemK10 And it’s global. https://t.co/DSEmdUnzvM,2,223,1,global
349,A reliable work from home business involves your well-being you should go to this important physical condition guid… https://t.co/AR9okTb8Vc,3,12945,0,"global,warming,deal,coal"
350,Climate change 'threat multiplier' ignored in national environmental laws https://t.co/JV1kDn6A02 #auspol #auslaw… https://t.co/y70GrJQR53,2,16046,4,"warming,environment"
351,It’s okay though never to late to learn a new language or learn it in a different environment/setting other than uni,2,696,2,"global,warming,deal,coal,environment"
352,"Tourism deals lingering blow to global economy via @FT
 https://t.co/y9pUXThDwI",1,36,0,"deal,global"
353,@luciwii @bIackjackaIs sameee. i always thought it was global but now i’m in doubt,2,3875,1,"warming,environment,fossil,global"
354,"A bad dream you never wake up from.
Noisy environment loud enough to hurt your ear drums.
So I have pleasant dreams… https://t.co/IrluadX7lR",1,235,1,"global,warming,deal,coal,environment,fossil"
355,"As we begin to recover from Covid-19, we can't lose sight of the looming climate crisis - we need a fair and… https://t.co/hSbbiD5SGZ",1,6317,6,"global,warming,deal,coal"
356,If you appreciate durable weight reduction go and visit this type of webpage https://t.co/LyxQ8fNkoJ,2,5116,0,coal
357,"@_AmyGray_ ""One area in which the Commonwealth has a new regulatory role is to approvals under the environment prot… https://t.co/zvGtzY2ucZ",2,78657,15,"warming,global,deal,coal,environment"
358,"@Deccatori @MiaFarrow Some of his EO's will permanently damage our environment, our economy &amp; America itself.",2,2965,1,environment
359,"no but in all seriousness the condition of the environment is swiftly worsening,",1,313,0,"warming,environment"
360,Absolutely amazing how Taiwan built a system to provide masks for their entire population! @fordnation… https://t.co/hraXhYC9rx,4,252,0,"global,warming,deal,coal"
361,"There's an app for everything, including how to deal with the stress created by the global pandemic. A team at Wayn… https://t.co/Ibgm15OZ8g",2,2979,1,"deal,global,warming,coal"
362,"It's embarrassing that ""defund the police"" and the ""green new deal"" are both basically empty rhetoric around profou… https://t.co/RojNnn91wN",1,6320,12,"green,deal"
363,@DrJoannaT But Oz universities are pretty rich on global scale,3,522,0,"environment,global"
364,"@kennettjohn @HempflingLee @12News Given that COVID-19 is a global problem, Biden’s win in November won’t make us s… https://t.co/70ZuwnGFQQ",1,157,0,"global,warming,deal,coal"
365,"COUNTDOWN...
Don’t Miss This!!! #HipHop4Justice #CoronavirusPandemic #BlackTwitter #COVID19 #pandemic… https://t.co/odPWoWsU7Z",2,1753,1,"coal,warming,fossil,deal"
366,@SenKamalaHarris @RepValDemings @AmbassadorRice @KeishBottoms are four of the Top 10 women for VP of the United Sta… https://t.co/ENjlLMYeJd,2,1097,0,environment
367,"@KentBrockman13 Haha I've traveled to Europe and would be there now if not for lady Rona, I just earned a second sc… https://t.co/xXIeIaEMoS",1,193,1,"warming,environment,fossil,global,deal,coal"
368,Instructors have questions about the logistics of providing enriching learning environments safely. If those questi… https://t.co/mrGAvc0vFC,2,229,0,environment
369,In case you want long weight reducing go look at this online page https://t.co/XGx0Y2nErw,2,18691,0,warming
370,Such a toxic environment kills you from the inside out.,1,594,1,"global,warming,deal,coal,environment"
371,“The European Central Bank and the European Investment Bank support big corporations through non-transparent proces… https://t.co/UcsRaNvwr4,2,340,0,warming
372,"lolol just had a guy tell me I'm ""valid"" for not hooking up with people during a global pandemic",2,662,3,"global,warming,deal,coal,environment"
373,@andygr @ExplorerRahman @guyverhofstadt If we continue to ignor global warming and the increasing imbalance of the… https://t.co/AgYTFAfkuY,2,265,0,"global,warming"
374,"#SolarOrbiter: Europe's Sun mission makes first close pass #space 
https://t.co/yVYy8pwvsL",3,3575,1,job
375,"Why WHAT IN @blueblazes 
Not just WWG1.. but
#WWG1WGA_WORLDWIDE 

Ya see. There's this weird global Satanic pedophi… https://t.co/MXqZNppHUs",1,153,1,"warming,global"
376,"In short, you have more power if you believe you have power and view your life’s encounters as negotiations. Your a… https://t.co/lsJff8txq1",2,253,0,warming
377,"BEST curtains for your precious car.

【Japanese brand】Privacy Sun Shades for Rear Window of NX300, NX300h
https://t.co/ytcX7lYV9z",3,638,0,fossil
378,@MidnightAz1 The most warming bosom is the best bosom,3,132,1,warming
379,@gdgirlgonerogue @NZ_Farmer @FedFarmers @Farmers @DairyNZ There is a climate issue but he won’t be taking any drast… https://t.co/MSvYN4wsMH,2,1047,1,"global,warming,deal,coal"
380,"Manitoba film production poised to resume amid COVID-19 downturn, but cameras not rolling yet - [Coronavirus], Sour… https://t.co/LW4RaITNmR",1,19,0,"warming,coal"
381,A few months into a global pandemic and people still don’t understand basic hand hygiene and cough etiquette 🤢,2,3047,36,"global,warming,deal,coal"
382,@rnz_news She's angry? Fake as! She's part of the global scam to create huge debt and poverty to steer us towards t… https://t.co/wWQlJAKzhZ,1,49,0,global
383,"@bbm010 I’d be surprised if that Days Payable number comes down at all in this environment, which can’t make their suppliers too happy.",3,5029,5,"warming,environment"
384,"Environmental activism has a racial blindspot. 

The science shows the fallout...

Elevating racial justice issues… https://t.co/Ww8RlJvGe3",1,11375,0,"environment,global,warming,deal,coal"
385,@TRUMP_COVID19 @rawoods24 @IngrahamAngle @POTUS @realDonaldTrump @DonaldJTrumpJr @GOP @TuckerCarlson @PressSec… https://t.co/o9OA4YCF3D,2,83,0,"deal,coal"
